0,1
1,1
2,1
3,2
4,3
5,5
6,1
7,2
8,6
9,1
10,2
11,0
12,5
13,2
14,1
15,3
16,4
17,8
18,6
19,3
20,2
21,1
22,4
23,2
24,3
25,1
26,2
27,5
28,3
29,2
30,1
31,2
32,3
33,2
34,1
35,2
36,6
37,2
38,4
39,5
40,2
41,1
42,6
43,2
44,1
45,3
46,5
47,2
48,1
49,4
50,6
51,2
52,1
53,3
54,2
55,1
56,4
57,2
58,1
59,4
60,2
61,1
62,3
63,2
64,1
65,4
66,5
67,2
68,1
69,3
70,2
71,1
72,4
73,2
74,1
75,1
76,2
77,1
78,3
79,2
80,1
81,2
82,3
83,2
84,1
85,2
86,3
87,2
88,1
89,2
90,3
91,2
92,1
93,4
94,2
95,1
96,3
97,2
98,5
99,2
100,1
101,4
102,2
103,3
104,2
105,1
106,4
107,1
108,2
109,3
110,5
111,2
112,1
113,4
114,2
115,1
116,4
117,1
118,2
119,1
120,5
121,2
122,4
123,3
124,2
125,1
126,4
127,5
128,2
129,3
130,2
131,1
132,4
133,2
134,3
135,2
136,1
137,4
138,2
139,3
140,1
141,5
142,2
143,4
144,1
145,5
146,2
147,3
148,2
149,1
150,4
151,2
152,1
153,5
154,3
155,2
156,1
157,4
158,5
159,2
